"ticker","cik","fund_name","sic","sic_description","entity_name","verdict","reason"
"PHC_STEELECR","0001817825","Steele Creek Capital Corp","","","Steele Creek Capital Corp","keep",""
"PHC_KKRFSINC","0001975736","KKR FS Income Trust Select","","","KKR FS Income Trust Select","remove","name pattern: KKR FS Income Trust Select"
"PHC_BARINGSP","0001859919","Barings Private Credit Corp","","","Barings Private Credit Corp","keep",""
"PHC_STONEPOI","0002031283","Stone Point Credit Income Fund","","","Stone Point Credit Income Fund","keep",""
"PHC_FIRSTEAG","0001890107","First Eagle Private Credit Fund","","","First Eagle Private Credit Fund","keep",""
"PHC_FIDELITY","0001899996","Fidelity Private Credit Co LLC","","","Fidelity Private Credit Co LLC","keep",""
"PHC_THIRDPOI","0002025369","Third Point Private Capital Partners","","","Third Point Private Capital Partners","keep",""
"PHC_GOLUBCAP","0001901612","Golub Capital BDC 4, Inc.","","","Golub Capital BDC 4, Inc.","keep",""
"PHC_GOLDMANS","0002027537","Goldman Sachs Real Estate Finance Trust Inc","6798","Real Estate Investment Trusts","Goldman Sachs Real Estate Finance Trust Inc","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_GOLUBCAP","0001901606","Golub Capital Direct Lending Unlevered Corp","","","Golub Capital Direct Lending Unlevered Corp","keep",""
"PHC_GOLDMANS","0001865174","Goldman Sachs Middle Market Lending Corp. II","","","Goldman Sachs Middle Market Lending Corp. II","keep",""
"PHC_SILVERCA","0001674760","Silver Capital Holdings LLC","","","Silver Capital Holdings LLC","keep",""
"PHC_GOLDMANS","0001772704","Goldman Sachs Private Middle Market Credit II LLC","","","Goldman Sachs Private Middle Market Credit II LLC","keep",""
"PHC_JEFFERIE","0001959604","Jefferies Credit Partners BDC Inc.","","","Jefferies Credit Partners BDC Inc.","keep",""
"PHC_BLACKSTO","0002049733","Blackstone Private Real Estate Credit & Income Fun","","","Blackstone Private Real Estate Credit & Income Fun","remove","name pattern: Blackstone Private Real Estate Credit & Income Fund"
"PHC_ARESCORE","0002031750","Ares Core Infrastructure Fund","","","Ares Core Infrastructure Fund","remove","name pattern: Ares Core Infrastructure Fund"
"PHC_SIXTHSTR","0001925309","Sixth Street Lending Partners","","","Sixth Street Lending Partners","keep",""
"PHC_GOLUBCAP","0001930087","Golub Capital Private Credit Fund","","","Golub Capital Private Credit Fund","keep",""
"PHC_GOLUBCAP","0001868878","GOLUB CAPITAL DIRECT LENDING CORP","","","GOLUB CAPITAL DIRECT LENDING CORP","keep",""
"PHC_BIPVENTU","0001950572","BIP Ventures Evergreen BDC","","","BIP Ventures Evergreen BDC","keep",""
"PHC_STARMOUN","0001786835","Star Mountain Lower Middle-Market Capital Corp","","","Star Mountain Lower Middle-Market Capital Corp","keep",""
"PHC_SENIORCR","0001959568","Senior Credit Investments, LLC","","","Senior Credit Investments, LLC","keep",""
"PHC_AMGCOMVE","0001987221","AMG Comvest Senior Lending Fund","","","AMG Comvest Senior Lending Fund","keep",""
"PHC_MONROECA","0001512931","MONROE CAPITAL Corp","","","MONROE CAPITAL Corp","keep",""
"PHC_KKRINFRA","0001948056","KKR Infrastructure Conglomerate LLC","6799","Investors, NEC","KKR Infrastructure Conglomerate LLC","remove","name pattern: KKR Infrastructure Conglomerate LLC"
"PHC_KKRPRIVA","0001957845","KKR Private Equity Conglomerate LLC","6199","Finance Services","KKR Private Equity Conglomerate LLC","remove","SIC 6199: Finance Services"
"PHC_AUDAXCRE","0001633858","Audax Credit BDC Inc.","","","Audax Credit BDC Inc.","keep",""
"PHC_FRANKLIN","0002018545","Franklin BSP Real Estate Debt BDC","","","Franklin BSP Real Estate Debt BDC","remove","name pattern: Franklin BSP Real Estate Debt BDC"
"PHC_KKRENHAN","0002012839","KKR Enhanced US Direct Lending Fund-L Inc.","","","KKR Enhanced US Direct Lending Fund-L Inc.","keep",""
"PHC_CARLYLEC","0001702510","Carlyle Credit Solutions, Inc.","","","Carlyle Credit Solutions, Inc.","keep",""
"PHC_WILLOWTR","0001944831","Willow Tree Capital Corp","","","Willow Tree Capital Corp","keep",""
"PHC_ARESSTRA","0001918712","ARES STRATEGIC INCOME FUND","","","ARES STRATEGIC INCOME FUND","remove","duplicate of ASIF (same CIK)"
"PHC_LAFAYETT","0001849089","Lafayette Square USA, Inc.","","","Lafayette Square USA, Inc.","keep",""
"PHC_ABPRIVAT","0001982701","AB Private Lending Fund","","","AB Private Lending Fund","keep",""
"PHC_PENNANTP","0002089126","PennantPark Private Income Fund","","","PennantPark Private Income Fund","keep",""
"PHC_CCSIXPOR","0002017636","CCS IX Portfolio Holdings, LLC","","","CCS IX Portfolio Holdings, LLC","remove","manual: confirmed non-BDC operating company / SPV"
"PHC_MANULIFE","0001988280","Manulife Private Credit Fund","","","Manulife Private Credit Fund","keep",""
"PHC_NUVEENCH","0002071136","Nuveen Churchill BDC V","","","Nuveen Churchill BDC V","keep",""
"PHC_HPSCORPO","0001989817","HPS Corporate Capital Solutions Fund","","","HPS Corporate Capital Solutions Fund","remove","name pattern: HPS Corporate Capital Solutions Fund"
"PHC_YERBAEBR","0001978133","YERBAE BRANDS CORP.","2080","Beverages","YERBAE BRANDS CORP.","remove","name pattern: YERBAE BRANDS CORP."
"PHC_STONEPOI","0001825384","Stone Point Credit Corp","","","Stone Point Credit Corp","keep",""
"PHC_PROSPECT","0001521945","Prospect Floating Rate & Alternative Income Fund, ","","","Prospect Floating Rate & Alternative Income Fund, ","keep",""
"PHC_VISTACRE","0001919369","VISTA CREDIT STRATEGIC LENDING CORP.","","","VISTA CREDIT STRATEGIC LENDING CORP.","keep",""
"PHC_NEXPOINT","0001588272","NexPoint Capital, Inc.","","","NexPoint Capital, Inc.","keep",""
"PHC_X1CAPITA","0001999538","X1 Capital Inc.","","","X1 Capital Inc.","remove","manual: confirmed non-BDC operating company / SPV"
"PHC_MSDINVES","0001849894","MSD Investment Corp.","","","MSD Investment Corp.","keep",""
"PHC_WESTBAYB","0002020354","West Bay BDC LLC","","","West Bay BDC LLC","keep",""
"PHC_5CLENDIN","0001998387","5C Lending Partners Corp.","","","5C Lending Partners Corp.","keep",""
"PHC_GOLUBCAP","0002082559","Golub Capital Private Income Fund I","","","Golub Capital Private Income Fund I","keep",""
